word,definition,weight
à la carte,"/lkrt, l/  adj.adv. (French for) ordering each dish separately instead of a complete meal: I ordered roast chicken and a vegetable à la carte, but no salad or dessert.",9
abbreviate,"/briviet/  v. [T] -ated, -ating, -ates to shorten, esp. a word: This dictionary abbreviates the word ""noun"" by using ""n."" -n. abbreviation /brivien/.",9
aberration,"/bren/  n. an unusual happening, (syn.) a deviation: The fact that he is late for our meeting is an aberration; he's normally on time.",9
abominable,"/bmnbl/  adj.frml. hateful, disgusting: Her cruel treatment of others is abominable. -adv. abominably.",9
about-face,"  n.frml. 1 (in the military) an order to soldiers to change direction to the reverse: On command, the soldiers did an about-face. 2 fig. a complete change (of attitude, opinion, etc.): He did an about-face and became pleasant when his angry behavior hurt his business.",9
aboveboard,/bvbrd/  adj. honest: He is an honest businessperson; he is aboveboard with everyone.,9
absolution,"/bslun/  n. [U] the formal removal of guilt (sin, crime, etc.), forgiveness: In some religions, a priest can give absolution to s.o. who has done s.t. wrong.",9
abstention,"/bstnn/  n. not voting: The vote was 10 in favor of the plan, one against it, and two abstentions.",9
abstinence,"/bstnns/  n. [U] 1 refusal to use s.t., such as alcohol or cigarettes: He must have total abstinence from drinking because of his heart problem. 2 refusal to have sex: The Catholic Church demands abstinence of its priests. -adj. abstinent.",9
accelerate,"/kslret/  v. [I] -ated, -ating, -ates to speed up, move faster: The automobile accelerated to a speed of 100 miles (160 km) per hour. -n. [U] acceleration  /kslren/.",9
accentuate,"/ksntuet, k/  v. [T] -ated, -ating, -ates to show the importance of s.t., (syn.) to emphasize: The Mayor's speech accentuated the need to get rid of poverty and disease.",9
acceptable,"/ksptbl/  adj. 1 satisfactory: We received an acceptable price for our house. 2 all right to do: Wearing a shirt without a tie is acceptable dress for dinner here. -adv. acceptably.Thesaurus: acceptable 1 sufficient, decent, tolerable   2 permissible, civilized, decent. Ants. unacceptable | uncivilized.",9
acceptance,"/ksptns/  n. 1 favor, approval: His work received acceptance by his peers. 2 the act of accepting: She received an acceptance for admission to college.",9
