word,definition,weight
aardvark,"/rdvrk/  n. a small, strong African animal with long ears and a long nose (or snout): The aardvark digs for insects with its long snout.",9
abdicate,"/bdket/  v. [I;T] -cated, -cating, -cates to give up s.t., to step down as from  a high office: The king abdicated his throne and left the country. -n.[C;U] abdication  /bdken/.",9
abeyance,"/bens/  n.frml. [U] to hold in abeyance: delay, (syn.) suspension: A decision is being held in abeyance until more information is available.",9
abnormal,"/bnrml/  adj. not normal, unusual: The high temperatures are abnormal for this time of year. -adv. abnormally.",9
abortive,"/brtv/  adj. failed, unsuccessful: The politician made an abortive attempt at running for mayor.",9
abrasion,"/bren/  n. 1 [U] wear caused by rubbing: Constant abrasion from shoes wore down the wooden floor. 2 [C] a small wound where skin has been rubbed off, (syn.) a scrape: Her knees were covered with abrasions after she fell on the sidewalk.",9
abrasive,"/bresv/  n. 1 s.t. that is rough to the touch and can cause wear and tear: Concrete is an abrasive. 2 a substance that causes a small amount of abrasion in order to clean (smooth, polish, grind, etc.): Use an abrasive, such as a strong soap with sand in it, to clean the kitchen sink.  adj.fig. rough, making people feel bad, (syn.) irritating: His abrasive manner makes people want to stay away from him. -adv. abrasively.",9
abridged,/brdd/  adj. shortened: I read an abridged version of the report.,9
absolute,"/bslut, bslut/  n. s.t. that does not change, such as a rule (law, requirement): You must be at work from 9:00 A.M. to 5:00 P.M.; that is an absolute.  adj. 1 complete, without question, total: The king has absolute authority over the kingdom. 2 certain, definite: She told you the absolute truth. -adv. absolutely /bslutli, bslut/; -n. [U] absolutism.",9
abstruse,"/bstrus, b/  adj.frml. difficult to understand, unclear: That writer's ideas are abstruse. -adv. abstrusely.",9
abundant,"/bndnt/  adj. plentiful, (syn.) profuse: Food is in abundant supply in this country. -adv. abundantly.",9
academia,"/kdimi/  n. frml. [U] the world of students and teachers, esp. colleges and universities: She entered the world of academia as an assistant professor. -n. academe /kdim, kdim/.",9
academic,/kdmk/  adj. related to studying and learning: His academic work is excellent.  n. a professor: He is an academic at the university. -adv. academically; -n. [C] academician /kdmn/.,9
accepted,"/ksptd/  adj. agreed upon, (syn.) standard: Calling the doctor's office is the accepted way of making an appointment.",9
accident,"/ksdnt, dnt/  n. s.t. harmful or unpleasant that happens by surprise: He had an accident on the way to work; he fell and broke an ankle.Thesaurus: accident a mishap | crash, wreck.  Ants. good luck | close call.",9
accolade,"/kled, kled/  n.frml. praise: The student was given accolades for her high grades.",9
accredit,"/krdt/  v. [T] 1 to approve, for meeting a set standard: A committee of professors accredits colleges and universities in the USA. 2 to give s.o. credit for having or doing s.t.: She is accredited with writing that poem.",9
accuracy,"/kyrsi/  n. [U] 1 s.t. that is correct and true, (syns.) exactness, precision: He is a professional, and the accuracy of what he says is not to be questioned. 2 the ability to hit a target: Her accuracy with the gun surprised everyone.",9
accurate,"/kyrt/  adj. 1 exact, correct: The numbers in the report are accurate. 2 able to hit a target, having good aim: She is extremely accurate with a bow and arrow, hitting the bull's-eye every time. -adv. accurately.Thesaurus: accurate 1 error free | true (story, description).  Ants. inaccurate | untrue.",9
accustom,"/kstm/  v. [T] to become used to s.t., (syn.) to adapt: I will accustom myself to studying hard at the university.",9
achiever,"/tivr/  n. [C] a person who accomplishes things, a doer: She was a high achiever in college, always getting the best grades in her class.",9
acoustic,/kustk/  or acoustical adj. relating to a musical instrument whose sound is not electronically changed: She plays an acoustic guitar. -adv. acoustically.,9
acquaint,"/kwent/  v. [T] 1 to learn about (usu. a place), (syn.) to familiarize: I acquainted myself with my new neighborhood. 2 to know s.o., but not well: We met several times and are acquainted.",9
activate,"/ktvet/  v. [T] -vated, -vating, -vates to put in motion, start: She activated the machine by pressing a button. -n. [U] activation /ktven/.",9
activist,"/ktvst/  n. a person who works at changing s.t., esp. in politics: She is a political activist who works on lowering taxes. -n. [U] activism.",9
