word,definition,weight
absentminded,"/bsntmandd/  adj. not remembering things, forgetful: He's so absentminded that he often forgets where he put his car keys. -adv. absentmindedly.",9
abstract (1),"/bstrkt, bstrkt/  adj. 1 related to ideas, feelings, etc. (not concrete things): ""Beauty"" and ""truth"" are abstract ideas. 2 unclear, vague: He has abstract ideas about what to do, but no specific thoughts. -adv. abstractly.",9
abstract (2),"/bstrkt/  v. [T] to shorten, (syn.) to summarize: I abstracted the main ideas of his two-page report into one page.  n. /bstrkt/ a summary: I then read the abstract at the meeting.",9
accomplished,"/kmplt/  adj. 1 finished, done: The task was accomplished in an hour. 2 skilled, experienced, and honored: She is an accomplished musician who has won many prizes.",9
according to,"  prep. 1 in accordance with, in agreement with: According to the law, you must pay a small fine. 2 as stated by, by the authority of: According to John, Sue was home at 8:00 P.M.||According to the teacher, all homework must be handed in on time.Usage Note: According to is not used with me.",9
accumulation,"/kyumylen/  n. [U] an increase, adding up: His accumulation of wealth amazes his friends.",9
acknowledged,/knldd/  adj. recognized: She is the acknowledged leader in her field of chemistry.,9
acquaintance,"/kwentns/  n. a person whom one knows, but not well: We are acquaintances and talk now and then.",9
Adam's apple,"/dmzpl/  n. the bump in the front of the throat, usu. seen in men: His Adam's apple moves up and down when he swallows.",9
advantageous,"/dvnteds, vn/  adj. good to do, (syn.) beneficial: I found it advantageous to combine a business trip with a vacation. -adv. advantageously.",9
affectionate,"/fknt/  adj. loving, warm: She is an affectionate child and loves to be hugged and kissed. -adv. affectionately.",9
afterthought,"/ftrt/  n. idea(s) that s.o. thinks of after an event: After he wrote the report, he had several afterthoughts that were too late to put in it.",9
all-American,  adj. 1 of an honor given to the best college athletes in the USA: He is an all-American football player from Notre Dame. 2 a person who has all the best American qualities: She is an all-American girl.  n. a male athlete awarded such an honor: He is an all-American from Notre Dame.,9
alliteration,"/ltren/  n. [U] the repetition of the same sound, usu. at the beginning of words: The sentence,""Happy Harry hates to hurry"" uses alliteration. -adj. alliterative /ltrtv, retv/.",9
alphabetical,/lfbtkl/  adj. in order of the alphabet (from A to Z): He put the words in the list in alphabetical order. -adv. alphabetically; -v. [T] alphabetize /lfbtaz/.,9
ambidextrous,/mbdkstrs/  adj. capable of doing things equally well with either hand: He's ambidextrous and can write with either hand.,9
amphitheater,/mfitr/  n. a theater or arena with a central stage or playing field with rows of seats rising above it: The Coliseum in Rome is a famous amphitheater.,9
anthropology,"/nrpldi/  n. [U] the study of humans and their cultures: In their anthropology course, the students learned about the Mayan civilization. -n. anthropologist; -adj. anthropological /nrpldkl/; -adv. anthropologically.",9
antiabortion,"/ntibrn, nta/  adj. opposed to the practice of terminating a  pregnancy: The antiabortion group provided information on alternatives to abortions. See: abort, 1.",9
appendectomy,/pndktmi/  n. -mies the surgical removal of the human appendix: Our daughter had an appendectomy at the hospital.,9
appendicitis,/pndsats/  n. [U] infection of the appendix causing swelling and pain: Our daughter was suffering from  appendicitis.,9
appreciation,"/priien/  n. [U] 1 gratitude, thankfulness: The man showed his appreciation to the waiter by leaving him a big tip. 2 esteem for the beauty or complexity of s.t.: She has an appreciation of painting and sculpture. 3 understanding, (syn.) sympathy: He has an appreciation for how difficult it is to write well. 4 increase in the value of s.t.",9
appreciative,"/pritv, i/  adj. 1 thankful, grateful: He is appreciative of the gift. 2 understanding a reason for s.t., (syn.) sympathetic: I am appreciative of the fact that you were late because you were delayed in traffic. -adv. appreciatively.",9
apprehension,"/prhnn/  n. [U;C] worry, fear: The parents were filled with apprehension about letting their 19-year-old daughter drive across country alone. -adj. apprehensive /prhnsv/.",9
approachable,"/protbl/  adj. friendly, willing to talk, (syn.) accessible: Even though she is famous, she is still quite approachable.",9
