word,definition,weight
abandon,"/bndn/  v. [T] 1 to stop: We abandoned the project because it was too expensive. 2 to leave s.o. or s.t.: The people abandoned the village before the soldiers came.  n. [U] wildness, (syn.) recklessness: The guests danced at the party with abandon. -n. [U] abandonment.Thesaurus: abandon v. 1 to discontinue, terminate. Ant. to maintain.  2 to desert, leave (s.o./s.t.) forever. Ants. to keep, stay.",9
abashed,/bt/  adj.frml. ashamed or embarrassed: The student was abashed at failing the exam. -v. abash.,9
abdomen,"/bdmn, bdo/  n. the belly, stomach area: My abdomen hurts. -adj. abdominal /bdamnl/.",9
abiding,"/bad/  adj. enduring, lasting: I have an abiding desire to become a teacher.",9
ability,"/blti/  n. -ties 1 [U] skill: She has great ability at playing the piano. 2 [C] power to do s.t.: He has many abilities, but he doesn't always use them.Thesaurus: ability 1 competence | talent, gift. Ant. unskilled  2 capacity. Ant. inability.",9
abolish,"/bl/  v. [T] to end s.t.: The government abolished the tax on food.Thesaurus: abolish to cancel, eliminate | to prohibit, ban. Ants. to establish | restore.",9
abreast,"/brst/  adv. 1 aware of what is happening in the world or in an area of work or study, (syns.) current, up-to-date: She keeps abreast of what is happening by reading newspapers. 2 side-by-side, together: Students walk into school two abreast.",9
abridge,"/brd/  v. [T] abridged, abridging, abridges to shorten, remove parts, esp. from a written work: Reader's Digest abridges long books so that people can read them quickly. -n. [C] abridgment.",9
abscess,/bss/  n. -es an infected sore or wound filled with a white liquid: He has an abscess in his mouth.  v. [I] to form an abscess,9
abscond,"/bsknd, b/  v.frml. [I] to leave quickly to avoid being caught: The thief absconded with the jewels.",9
absence,/bsns/  n. 1 [C] a situation of not being present: His absence from work was because of his illness. 2 [U] a lack of s.t.: An absence of sleep left her tired. 3 a leave of absence: an approved time of being absent: She took a three-month leave of absence from her job to have a baby.,9
absolve,"/bzlv, slv/  v. [T] -solved, -solving, -solves 1 to free of responsibility or guilt: A judge absolved a woman of punishment for killing a man because she was protecting herself. 2 (in religion) to forgive, (syn.) to  pardon: After praying for forgiveness, he was absolved of sin.",9
abstain,"/bsten/  v. [I] 1 not to allow oneself to do s.t., (syn.) to refrain from: He abstains from drinking alcohol (eating meat, smoking, etc.). 2 (in politics) not to vote: Two senators abstained on the vote on the new law to raise taxes.",9
abusive,"/byusv/  adj. 1 using vulgar language or criticism: Two cars collided and the drivers shouted abusive language at each other. 2 unfair, (syn.) exploitative: He's abusive of his parents by borrowing money from them and not repaying it. -adv. abusively.",9
abysmal,"/bzml/  adj.frml. 1 too deep to be measured 2 fig. terrible, awful: That movie was an abysmal failure. -adv. abysmally.",9
academy,"/kdmi/  n. 1 a private school or college: My daughter attends the police (military, naval, etc.) academy. 2 higher education",9
acclaim,"/klem/  n.frml. [U] public congratulations, praise: The athlete received great acclaim for winning a medal in the Olympics.  v.frml. [I] to give congratulations, praise: She was acclaimed as the greatest writer  of her generation. -n. [U] acclamation  /klmen/.",9
