word,definition,weight
abnormality,/bnrmlti/  n. -ties an unusual mental or physical condition: It is an abnormality to have six toes on one foot.,9
abomination,/bmnen/  n.frml. s.t. that causes disgust or hatred: The murder of those children was an abomination.,9
absenteeism,/bsntizm/  n. [U] 1 a condition of people being absent: The rate of absenteeism at that school is very high. 2 being absent from work or school without a good reason: That worker was fired because of her high rate of absenteeism; she missed ten days of work in one month.,9
abstraction,"/bstrkn, b/  n. a vague, general idea not related to concrete things: ""Love"" and ""faith"" are abstractions.",9
accelerator,"/kslretr/  n. a device, usu. a floor pedal in a vehicle, that increases the speed of an engine: I stepped on the accelerator to increase my car's speed and pass another car.",9
accommodate,"/kmdet/  v. [T] -dated, -dating, -dates 1 to have enough space: That hotel room accommodates four people. 2 to make an extra effort to do what s.o. asks: The company accommodated the customer's wish and sent the delivery overnight.",9
accompanist,"/kmpnst, kmpnst/  n. a musician who plays for others, such as a soloist: The singer's accompanist was a piano player.",9
accordingly,"/krdli/  adv. in agreement with what is already known or expected, therefore, (syn.) consequently: Accordingly, now that you have completed your classes, the school will give you a diploma.",9
accountable,/kantbl/  adj. 1 responsible: He is accountable for the missing money. 2 to be held accountable: to be obligated to answer for s.t. or s.o.: He will be held accountable for any missing money.,9
achievement,"/tivmnt/  n. success, (syn.) accomplishment: He had many achievements in his career.",9
acknowledge,"/knld/  v. [T] -ledged, -ledging, -ledges 1 to respond: I acknowledged his offer by sending him a letter saying I had received it. 2 to admit: He acknowledges the fact that he is wrong.",9
acquisition,"/kwzn/  n. 1 [C] the purchase, the process of getting ownership of s.t.: My parents' latest acquisitions are a dishwasher and a new car. 2 (in business) a business or part of a business taken over or bought by another company: The software company's acquisition of Acme Company will help it compete in the hardware market. 3 [U] building up of skill, knowledge, etc., (syn.) attainment: The acquisition of the knowledge of medicine takes years of study.",9
acquisitive,"/kwstv/  adj. 1 wanting to own things: She has an acquisitive nature and collects everything of value. 2 greedy, (syn.) avaricious: Some politicians are acquisitive of power. -n. [U] acquisitiveness.",9
acrimonious,"/krmonis/  adj. angry, (syn.) bitter feelings: The issue of raising taxes causes acrimonious arguments. -adv. acrimoniously; -n. [U] acrimony /krmoni/.",9
acupuncture,"/kypktr/  n. [U] a part of Chinese medicine that treats diseases and pain by putting needles into the body: I thought acupuncture would hurt, but I couldn't even feel the needles.",9
adolescence,"/dlsns/  n. [U] the teenage years between puberty and adulthood: During her adolescence, she argued a lot with her  parents.",9
advancement,"/dvnsmnt/  n. [U] 1 success, getting ahead, esp. in a career, promotion: His job advancement was rapid, with three promotions in five years. 2 [C;U] progress, improvement: The advancement of medicine is based on discovering new medicines and techniques.",9
adventurous,"/dvntrs/  adj. 1 daring, bold: She is an adventurous young woman who rode across the country alone on a motorcycle. 2 exciting, (syn.) stimulating: She had an adventurous time. -adv. adventurously.",9
adversarial,"/dvrsril/  adj. against s.o., opposing: The two leaders are in adversarial positions over how to handle the problem.",9
advertising,"/dvrtaz/  n. [U] the field of making print, radio, or TV descriptions to promote products and services: My friend who works in advertising makes TV commercials.  adj. related to advertising: She is an advertising manager at a big company.",9
aerodynamic,/rodanmk/  adj. 1 of the science of air flowing against and over objects 2 having the ability to move (through the air) smoothly: Automobiles with good aerodynamic designs save fuel. -adv. aerodynamically; -n. aerodynamics.,9
affectation,"/fkten/  n. [C;U] false behavior, (syn.) pretension: He speaks with a British accent, but that is just an affectation, because he's not British.",9
affiliation,"/flien/  n. [C;U] an association, relationship: There is no affiliation between our organization and theirs, even though our names are similar.",9
affirmative,"/frmtv/  adj. positive, saying ""yes"": He replied in the affirmative to my question. -adv. affirmatively.",9
aftereffect,"/ftrfkt/  n. a problem directly resulting from an experience: He was at a party all night and felt the aftereffects, a headache and a stomach ache, the next day.",9
agriculture,/grkltr/  n. [U] the science of growing food: Agriculture is a big business in North America. -adj. agricultural /grkltrl/.,9
aide or aid,"/ed/  n. a helper, assistant: She is a nurse's aide.",9
alarm clock,  n. a clock that can be set to give a signal at a later time: I set the alarm clock to wake me up at 7:00 A.M.,9
all-purpose,"  adj. with many uses: Swiss Army knives are all-purpose instruments, with a knife, screwdriver, saw, scissors, and other tools.",9
