word,definition,weight
aback,"/bk/  adv. taken aback:  1 surprised, startled: He was taken aback when she ran suddenly into the room. 2 unpleasantly surprised, offended, (syn.) shocked: I was taken aback by his rudeness.",9
abase,"/bes/  v.frml. [T] abased, abasing, abases 1 to cause oneself or s.o. else to feel bad or ashamed: She won't abase herself by listening to his criticism. 2 to lower in rank, office, or respect: The lazy soldier was abased by an officer. -n. abasement.",9
abate,"/bet/  v. abated, abating, abates 1 [I] to lessen, decrease: The pain in my shoulder abated after a day. 2 [T] (in law) to lower, reduce: The town abated taxes on new businesses. -n. abatement.",9
abbey,"/bi/  n. a place where monks or nuns live, (syns.) a monastery, convent: We visited an old abbey near Westminster.",9
abbot,/bt/  n. the male head of the monks in an abbey,9
abhor,"/bhr, b/  v.frml. [T] -horred, -horring, -hors to hate, (syn.) to detest: She abhors bad table manners. -n. [U] abhorrence /bhrns, har/.",9
abide,"/bad/  v. [T] abided, abiding, abides 1 to suffer, stay in, (syn.) to endure: I can't abide the hot weather. 2 to abide by: to comply with, to agree to s.t.: I will abide by the judge's decision. -n. [U] abidance.",9
abode,"/bod/  n.frml. a place where one lives, (syn.) a residence: The phone book lists his abode as 370 West 58th Street.",9
abort,/brt/  v. [T] 1 to end a pregnancy before the normal time of birth: The doctor aborted the baby to save the mother's life. 2 fig. to stop an action before its end: The general aborted the attack and ordered his soldiers back to their camp. -n.[C;U] abortion /brn/.,9
about,"/bat/  prep. 1 related to, (syn.) concerning: The meeting was about a new product. 2 occupied with, doing: He goes about his business every day.  adv. 1 around, (syn.) approximately: About 20 people attended the meeting. 2 almost: Are you about done with that project? 3 ready to: I'm just about to go out the door. 4 How about: asking s.o. if he would like s.t.: How about a movie (dinner, drink, etc.) tonight? 5 not about to: showing strong disagreement: I am not about to drive in a bad snowstorm. 6 to come about: to change direction to the reverse: The ship came about and headed for home.",9
above,"/bv/  prep. 1 higher than: The sky above 10,000 feet is clear for flying.||She raised her hands above her head. 2 more or greater than: We have only a few products priced above $100. 3 above all: most  important: Above all, we must do more business this year. 4 above and beyond: in addition to, most importantly: Above and beyond everything else that's wrong with her, she has an angry attitude. 5 above s.o.'s head: too difficult for s.o. to understand: Fixing computers is above my head! 6 to be above it all: to be too important to deal with daily problems: The President doesn't have to cook his meals or clean the White House; he's above it all. 7 to be above s.t.: to be too honest or moral to do s.t. wrong: He would never tell your secrets; he is above that.  adv. 1 overhead, aloft: The clouds above are dark. 2 upstairs: A family lives on the floor above.  n.frml. [U] an earlier part of a document: The above states that the contract lasts for one year.Thesaurus: above prep. 1 and 2 over. Ants. below, under.  adv. 1 and 2 over, higher than (s.o./s.t.). Ant. below.",9
abuse,"/byuz/  v. [T] abused, abusing, abuses 1 to hurt badly, either physically or emotionally: The man abused his wife by yelling at her often. 2 to give hard use to s.t.: He abused his car by not changing the oil, and now it needs major repairs. 3 to take unfair advantage of: He abuses his job by coming to work late and leaving early.  n. /byus/ 1 [U] cruel treatment, (syn.) neglect: The boy was beaten and starved; he was a victim of abuse. 2 [C;U] misuse, such as cheating or stealing: There were several abuses of the honor system at the military academy last year. 3 [U] vulgar language or criticism: He made a mistake, and the boss shouted abuse at him.Thesaurus: abuse v. 1 to mistreat, hurt, assault 3 to exploit, misuse (privileges). Ants. to care for/about | respect.",9
abuzz,"/bz/  adj. full of talk (noise, buzzing sound, etc.): The office is abuzz with the latest news.",9
abyss,"/bs/  n. -es 1 frml. a dark bottomless crack, (syn.) a chasm: The earthquake opened up a huge abyss. 2 fig. too deep to be measured: That event happened so long ago that it has been buried in the abyss of time.",9
acorn,"/ekrn/  n. the nut of the oak tree: ""Mighty oaks from little acorns grow.""",9
acrid,"/krd/  adj. irritating to the senses, harsh: Acrid smoke from the fire burned my throat and eyes.",9
actor,/ktr/  n. a person who acts in plays or movies: My friend is an actor in the movies.,9
acute,"/kyut/  adj. great, (syn.) severe: An acute lack of food brought hunger to the people. -adv. acutely.",9
adage,"/dd/  n. a saying that contains truths or helpful information: There is an adage that says: ""When threatened, it is better to run away and live to fight another day.""",9
adapt,"/dpt/  v. [I] to change, to function in a new way, to adjust: She adapted herself (or) adapted quickly to her new job. -n.[C;U] adaptation /dpten, dp/.",9
adept,"/dpt/  adj. skillful, clever: She is adept at playing the guitar (swimming, solving problems, etc.). -adv. adeptly; -n. [U] adeptness.",9
admit,"/dmt/  v. [I;T] -mitted, -mitting, -mits 1 to confess, reveal s.t. held secret: He admitted that he had made a mistake. 2 to allow to enter, pass through: We were admitted to the party by the hostess herself. 3 to admit to s.t.: to accept responsibility: She admitted to stealing the money.",9
adobe,/dobi/  n. [U] 1 a building material made of clay and straw hardened in the sunlight: We lived in New Mexico in a house made of adobe. 2 a style of houses and other buildings common in the American Southwest.,9
adopt,/dpt/  v. [T] 1 to take legal responsibility for acting as parents to a child: We adopted two children whose parents were killed in an accident. 2 (in law) to make into a law: The legislature adopted a law to stop the sale of guns. 3 to copy: The boy adopts the same way of talking that his father has.Thesaurus: adopt 1 to become the legal parent of  2 to enact | formally approve s.t. (legislation)  3 to imitate. Ant. to reject.,9
adore,"/dr/  v. [T] adored, adoring, adores 1 to worship as a god or God, to love deeply: He simply adores his wife. 2 fig. to like very much: I just adore roses!Thesaurus: adore 1 to idolize, revere, like very much | (religion) to worship, venerate frml.2 to relish, delight in. Ant. to hate.",9
adorn,"/drn/  v.frml. [T] 1 to make beautiful, to decorate: She adorned the dinner table with flowers. 2 fig. to enliven, (syn.) to ornament: Many interesting people adorned the party. -n.[C;U] adornment.",9
adult,"/dlt, dlt/  n. a person or animal who has finished growing physically and mentally: At 21 years of age, he is now an adult.  adj. 1 able to make one's own decisions, mature: Her adult behavior made her parents feel she was ready to rent her own apartment. 2 showing or using sex, violence, or dirty language: That nightclub features adult entertainment, such as nude dancing. -n. [U] adulthood /dlthd/.Thesaurus: adult n. a grown-up | man | woman. Ant. child.  adj. 1 self-directing, self-sufficient    2 pornographic | obscene. Ant. childlike.",9
aegis,"/ids/  n. control, (syn.) sponsorship: That school is operated under the aegis of a religious group.",9
affix,"/fks/  v.frml. [T] -ed, -fixing, -fixes to put on, attach: He affixed the sign to the wall.",9
afire,"/far/  adj. on fire, burning, (syn.) ablaze: The house is afire!",9
afoot,"/ft/  adj.adv. 1 on foot 2 fig. happening, esp. s.t. dishonest, negative, or strange: There's s.t. afoot here, but I don't know what it is.",9
after,"/ftr/  prep. 1 in back of, behind: I told my dog to stay home, but he followed after me. 2 in search of, toward: A police officer chased after the criminal. 3 later in time: We had dinner after the movie.  conj. later than: She arrived at the party after I did.  adv. after all or after all is said and done: all things considered: He should do well at college; after all, he is a very smart boy.",9
again,"/gn/  adv. 1 another time, once more: Oh, it's raining again! 2 again and again: repeatedly, frequently: I've told you again and again not to spend so much money!",9
agent,"/ednt/  n. 1 a person who does business for others, representative: A travel agent makes airline and hotel reservations.||She is a literary agent who represents authors. 2 a spy or special government employee: He is an FBI agent. 3 a person or thing that causes an effect: People use chemical agents to clean things.Thesaurus: agent 1 a negotiator, intermediary  3 a force/power (an agent of change).",9
agile,"/dl, dal/  adj. quick and skillful in moving, (syn.) nimble: She is such an agile dancer! -adv. agilely; -n. [U] agility.",9
aging,/ed/  n. 1 the process of growing old: His aging does not permit him to work anymore. 2 the process of growing mature or ripe: Wine growers put wine in a cellar for aging.,9
aglow,"/glo/  adj. 1 frml. giving off (light, warmth), (syn.) radiating: The wood stove is aglow with heat. 2 fig. happy, (syn.) delighted: He is aglow with the feeling of  success.",9
agony,/gni/  n. [C;U] -nies great pain: She burned herself on the stove and was in agony.,9
agree,"/gri/  v. agreed, agreeing, agrees 1 [I] to have the same idea or opinion: He agreed with what I said. 2 [T] to approve, esp. after disagreeing: He agreed to buy the more expensive watch.Thesaurus: agree 1 to think alike | concur  2 to consent to s.t. | OK/okay infrml. Ant. to disagree.",9
ahead,"/hd/  adv. 1 forward: The traffic is bad, but I am moving ahead slowly. 2 in the distance: There is a car accident ahead causing this traffic jam. 3 to a better position: She works very hard to get ahead in life.  prep. ahead of: in front of: He stepped ahead of everyone else in line.",9
ain't,"/ent/  infrml.slang contr. of is not or are not: I (we, they, he, etc.) ain't ready to leave yet.Usage Note: Ain't is common in some dialects of English: She ain't here yet.||I ain't seen her. Most people avoid using it in school or business situations.",9
aisle,/al/  n. a long open path between rows of seats: We walked down the aisle to our seats in the theater.,9
alarm,"/lrm/  n. 1 [C] a warning device, such as a bell, siren, or buzzer: A prisoner set off an alarm as she tried to escape. 2 [C] a warning call or signal: A guard shouted an alarm as he saw the prisoner running away. 3 [U] shock, fear: The other guards saw the escape with alarm.  v. [T] to warn, signal danger: The escape of the dangerous prisoner alarmed people who lived in the area.Thesaurus: alarm n. 3 terror, anxiety, distress. Ant. calm.",9
album,"/lbm/  n. 1 a book with blank pages for holding photographs, newspaper articles, and other things: We have a photo album full of family pictures. 2 a collection of musical pieces: My parents have a lot of Frank Sinatra's old record albums.",9
alert,"/lrt/  adj. 1 aware, (syn.) attentive: The guard stayed alert to watch for anything unusual. 2 bright, intelligent: Their son is an alert little boy.",9
algae,/ldi/  n.pl. simple tiny plants that live in water: The green covering on top of the water in that pond is algae. -n.sing. alga /lg/.,9
alias,"/elis, elys/  n.adv. -es a name used to hide one's identity, esp. by criminals, a false name, (syn.) a pseudonym: His real name is John Smith, but he lives under an alias, Johann Schmidt.",9
alibi,"/lba/  n. (in law) proof that a person was not near a crime scene and therefore could not have committed the crime: The police think that he committed the crime, but he has a good alibi proving he was out of town at the time.",9
alien,"/elin, elyn/  n. a stranger: He is an alien in this country; he is here on a student visa.  adj. 1 belonging to another country: Alien goods are brought into this country illegally. 2 from another planet 3 different, not typical: Cheating is alien to his nature.Thesaurus: alien n. resident foreigner | immigrant. Ant. citizen. adj. 1 foreign, non-native 2 extraterrestrial 3 atypical, unlike. Ant. native.",9
align,"/lan/  v. [T] 1 to place one or more objects in line with another: The worker aligned the chairs in straight rows in the meeting  hall. 2 to join, (syn.) to affiliate: Two small political parties aligned themselves so that together they would have more power. -n.[C;U] alignment.",9
alike,"/lak/  adj. similar, comparable: The two dresses look alike in shape, length, and color.Thesaurus: alike adj. identical, the same. Ant. different.",9
