word,definition,weight
A-1,"/ewn/  or A Number One adj. the best, excellent: That movie (restaurant, person, etc.) is A Number One.",1
ABC,"/ebisi/  n. ABC's 1 the alphabet: A child in school must learn his/her ABC's. 2 fig. the basics of an activity: In business, you have to learn the ABC's of profit and loss. 3 as easy as ABC: s.t. simple, not difficult: ""No problem! Those instructions are as easy as ABC.""",9
ace,"/es/  n. 1 in the USA, a playing card marked with a letter ""A"" for ""Ace"": In card games, the ace is often the card with the highest value. 2 an expert, esp. the pilot of a fighter plane: He was a flying ace during World War II. 3 ace in the hole (or) up one's sleeve: a secret advantage: The exam was supposed to be very difficult, but she had an ace up her sleeve; she had seen a copy of the questions before the exam.  v. [T] aced, acing, aces 1 (in tennis) to make the first serve so that one's opponent cannot return the ball: My opponent aced me three times during the match. 2 infrml.fig. to do s.t. very well, (syn.) to excel: He aced his exam with a score of 98.",9
act,"/kt/  v. 1 [I] to take action, proceed: The boss acted right away on my suggestion. 2 [I] to show, esp. an emotion: He acts as though he is pleased. 3 [I;T] to perform a role: He acted in a Shakespeare play. 4 [T] to work, to function: That medicine acts fast to relieve pain.Thesaurus: act v. 1 to do s.t. Ant. to ignore.  2 to behave  3 to have a part in, play in  4 to operate. n. 1 an event, happening: Attacking another nation is an act of war. 2 a part of a play: We especially enjoyed the third act of the play. 3 (in acting) a routine: He is a comedian  with a funny act. 4 infrml. to get one's act  together: to organize oneself and do s.t. useful: Tomorrow there will be an important meeting, so I'd better get my act together and prepare for it. 5 to put on an act: to make believe, pretend, (syn.) to feign: He put on an act of being sick so he could leave work early. 6 phrasal v. sep. to act out s.t.: to perform, cary out: We acted out a story in English class.||We acted it out. 7 phrasal v. to act up: a. to behave badly, inappropriately: The children acted up in class and broke a chair. b. to function badly: If your car is acting up again, take it back to the mechanic. ",9
add,"/d/  v. [T] 1 to combine two or more numbers into a total: The cashier added up the bill. 2 to increase the size or amount of s.t.: We added a room to our house. 3 to add insult to injury: to be insulted as well as harmed: A guy hit my car while it was parked, and to add insult to injury, he yelled at me. 4 phrasal v. insep. to add up: to make sense, seem true: What he says does not add up.",9
age,"/ed/  n. 1 [C;U] how many years s.o. has lived: The boy is 15 years of age. 2 [U] a time period in life: Middle age starts after 40.||That lady died of old age, not disease. 3 [C] a historical time period: The ancient Greeks spoke of a Golden Age.  v. [I] 1 to grow older: He is 60 years old but has aged well. 2 to ripen, mature: Wine ages in barrels before it is put into bottles.Thesaurus: age n. 1 longevity | childhood, adolescence, young adult(hood), maturity 2 childhood, youth, adulthood, maturity, middle age 3 era, epoch, millennium. v. 1 to mature | get along in years 2 to mellow with age (old people | wine, cheese).",9
ago,"/go/  adv. in the past, (syn.) previously: We met for the first time five years ago.",9
aid,"/ed/  v. [T] to help financially or physically, to assist: I aided my friend by giving him some money.  n. 1 [U] help, assistance: The Red Cross gives aid in the form of both money and material goods to those in need of it. 2 [C] s.t. useful, such as tools or other equipment: A computer is an aid in writing.||She doesn't hear well and wears a hearing aid.Thesaurus: aid v. to support, lend a hand to s.o. | provide money (or) credit. Ant. to hinder n. 1 support.",1
ail,"/el/  v. [T] 1 to be sick, (syn.) to suffer illness: The patient is ailing from his fever. 2 to be bothered by s.t., to be annoyed: I wonder what's ailing him today; he's so irritable.",9
aim,"/em/  v. 1 [T] to direct s.t., such as a gun or ball, at a certain point: He aimed the basketball at the net and shot the ball. 2 fig. [I] to direct one's words or actions toward a person or group: The boss's comments were aimed at you. 3 [I] to plan to do s.t.: She aims to go to college.Thesaurus: aim 1 to point (weapon)  2 to address (one's comments to)  3 to intend, have as a goal.",9
