word,definition,weight
abacus,/bks/  n. -es a device made of beads and rods used for counting: The abacus has been used for solving arithmetic problems for thousands of years.,9
abduct,"/bdkt, b/  v. [T] to take away by force, (syn.) to kidnap: A stranger abducted the child outside a store. -n.[C;U] abduction.",9
abject,"/bdkt/  adj. 1 in the worst condition, miserable, (syn.) wretched: In a slum, people live in abject poverty. 2 not worthy of respect: He is an abject liar.",9
ablaze,"/blez/  adj.frml. 1 on fire, burning: The building is ablaze. 2 fig. highly motivated, filled with strong emotion: My heart is ablaze with love for you.",9
aboard,"/brd/  prep. on a ship, train, airplane, or other vehicle: The train conductor says ""All aboard"" before the train leaves the station.",9
abound,"/band/  v. [I] to exist in great numbers, (syns.) to teem, be abundant: Deer and rabbits abound in this forest.",9
abroad,"/brd/  adv. 1 out of the country: Our company ships goods abroad. 2 far and wide: The wind carried the seeds abroad.Thesaurus: abroad adv. 1 overseas, to a foreign country. Ants. at home | domestically.",9
abrupt,"/brpt/  adj. 1 quick and unfriendly, rude: He talks to everyone in an abrupt manner. 2 sudden, happening by surprise: The bus came to an abrupt halt. -adv. abruptly; -n. abruptness.",9
absent,/bsnt/  adj. not present: The student is absent from class. -n. absentee /bsnti/.,9
absorb,"/bsrb, zrb/  v. [T] 1 to soak up, take in: The sponge absorbed water from the sink. 2 to accept a loss (expense, punishment): Sending the wrong refrigerator is our mistake, so we'll absorb the cost of sending the right one. 3 fig. to learn and remember: She absorbs new ideas very quickly. 4 to concentrate completely, (syn.) to immerse oneself: He is absorbed in his work.",9
absurd,"/bsrd, zrd/  adj. foolish, stupid: He made some absurd comments about taxes being too low.Thesaurus: absurd adj. unreasonable, ridiculous. Ants. reasonable | wise.",9
accede,"/ksid, k/  v.frml. [I] -ceded, -ceding, -cedes to agree, (syn.) to acquiesce: Her father finally acceded to her demands to move into an apartment of her own.",9
accent,"/ksnt/  n. 1 a particular sound in speech typical of a country or region: He speaks English with a Spanish accent. 2 a mark on a word to show how it is pronounced: The accent is on the ""i"" in ""sí"" for ""yes"" in Spanish. 3 a mark on part of a word to show where stress is put as it is spoken: In the word ""accent"" there is a heavier accent on the first part of the word.  v. [T] /ksnt, ksnt/ 1 to show the importance of, (syn.) to emphasize: The teacher accented her desire for quiet in the classroom by raising her voice. 2 to decorate, (syn.)  to complement: Her hat was accented with flowers.",9
accept,"/kspt/  v. [T] 1 to take willingly: He accepted my apology for being late. 2 to say ""yes,"" that you will do s.t.: Are you going to accept his invitation to the party? 3 to allow to join: They accepted the new girl as a member of their group of friends. 4 to become used to s.t. that one cannot change: He finally accepted his wife's death (defeat in the election, etc.). 5 to accept with open arms: to welcome, (syn.) to embrace: Her boyfriend's parents accepted her with open arms when they met her.Thesaurus: accept v. 1 to receive, obtain  2 to agree to s.t.  3 to support, approve of  4 to :understand, be convinced (of). Ant. to reject.",9
access,"/kss/  v. [T] to get into s.t., enter: He accessed the computer program by typing in the correct password.  n. [U] 1 entrance, permission to use: I got access to the library by showing my identity card. 2 a way or means of reaching or entering a place: The only access to the island is by boat or plane.  adj. related to entering: This is your access code for the computer.||Please use the access road behind the building.",9
accord,"/krd/  n.frml. [C] agreement: Two countries reached an accord and avoided war.||The politicians acted in accord with the President.  v.frml. [T] to give, grant, (syn.) to bestow: Our host accorded us a warm welcome.",9
accost,"/kst, kst/  v.frml. [T] to come up to a stranger and speak in an unfriendly way: A man accosted a woman on the street, asking her for her name and phone number.",9
accrue,"/kru/  v. [I;T] -crued, -cruing, -crues 1 to grow slowly, (syn.) to accumulate: Interest accrues to my savings account monthly. 2 to include in a business's financial accounts an expected earning or expense that has not yet been paid. -n. accrual.",9
accuse,"/kyuz/  v. [T] -cused, -cusing, -cuses to charge s.o. with wrongdoing, to blame: The police accused him of theft. -adj. accusatory /kyuztri/; -adv. accusingly; -n. accuser.Thesaurus: accuse to indict s.o. for s.t. frml. Ant. to support.",9
acquit,"/kwt/  v. [T] -quitted, -quitting, -quits 1 (in law) to clear s.o. of a crime, (syn.) to exonerate: The jury acquitted a man accused of theft. 2 frml. to perform or behave esp. well: She lost the game to a better tennis player but acquitted herself very well.",9
across,"/krs/  prep. in a motion on or over s.t.: We walked across the bridge.  adv. from one side to the other: We swam across the lake to get to the island.  v. 1 infrml. [I] to come across as: to make people think about one in a certain way, (syn.) to create an impression: He comes across as an honest guy. 2 phrasal v. insep. [T] to come across: to encounter or find by chance: I came across a pen that I had lost last week.",9
acting,/kt/  n. [U] performing in plays or movies: She chose acting as a career.,9
action,"/kn/  n. 1 [U] happenings, movement: We watched the action of the football game on TV. 2 [C] the effect or force of s.t. on s.t. else: The action of the waves hitting the beach made the sand wash away. 3 to take action: to bring s.o. to court, (syn.) to sue: The company took action against an employee who stole a computer.",9
active,"/ktv/  adj. 1 busy, (syn.) involved in: She is active in politics. 2 up and about, moving: He was sick but is active again. -adv.  actively.",9
actual,"/ktul/  adj. real, exact: Our actual expenses for food and clothes for last year were much lower than we thought.",9
acumen,"/kyumn, kymn/  n.frml. [U] the ability to see opportunities and dangers, (syn.) insight: She handles her business with much acumen.",9
ad hoc,"/dhk, hok/  adj. (Latin for) put together for a purpose, temporary: The teacher created an ad hoc committee of five students to discuss the textbook.",9
addict,"/dkt/  n. 1 a person physically or emotionally dependent on a substance, such as a drug: He is a heroin addict. 2 infrml.fig. a fan, (syn.) a devotee: He is a golf addict; he plays every day.  v. [T] /dkt/ (of a substance) to make s.o. dependent: Heroin addicts many people. -n. [C;U] addiction /dkn/; -adj. addictive /dktv/. See: drug, narcotic.",9
adhere,"/dhr/  v. [I] -hered, -hering, -heres 1 to hold, stick to a surface: That glue does not adhere to the wall. 2 to obey, pay attention to: Car drivers must adhere to the rules of driving or be punished. -n. adhesion /dhin/.",9
adjoin,"/dn/  v.frml. [T] to be next to, (syn.) to abut: The bathroom adjoins the bedroom.",9
adjust,"/dst/  v. 1 [I] to feel comfortable: I adjusted to the increased work load when my coworker went on vacation. 2 [T] to change: I adjusted the air conditioner to stay cool. 3 [T] to fix, repair: The mechanic adjusted the engine to make it work better. -adj. adjustable.Thesaurus: adjust 1 to adapt, become accustomed to | acclimate frml. 2 to regulate (temperature) | modify (one's writing, one's behavior)  3 to  fine tune, tweak. Ant. to leave alone.",9
ad-lib,"/dlb/  v.n.adj.infrml. [I;T] to speak, sing, or act without a script, saying whatever words come into one's mind: When the actor forgot her lines, she <v.> ad-libbed her part.",9
